ID,Date_time,Pitch_angle,Hub_temperature,Generator_converter_speed,Generator_speed,Generator_bearing_1_temperature,Generator_bearing_2_temperature,Generator_stator_temperature,Gearbox_bearing_1_temperature,Gearbox_bearing_2_temperature,Gearbox_inlet_temperature,Gearbox_oil_sump_temperature,Nacelle_angle,Nacelle_temperature,Absolute_wind_direction,Outdoor_temperature,Grid_frequency,Grid_voltage,Rotor_speed,Rotor_bearing_temperature,Absolute_wind_direction_c,Nacelle_angle_c,TARGET
462680,1.0,92.410004,8.2399998,3.9200001,0.17,7.6999998,6.8400002,4.9000001,2.3900001,2.4200001,2.01,2.0999999,302.89999,4.8899999,301.44,-0.69999999,49.98,684.19,0.0,2.3800001,301.44,302.89999,-2.72699989
462686,7.0,92.410004,6.8299999,3.9300001,0.17,7.6999998,6.8499999,4.7800002,2.3,2.3299999,2.3,2.1099999,302.89999,4.8400002,303.25,-0.74000001,0.0,0.0,0.0,2.3199999,303.25,302.89999,0.1
462692,669.0,92.410004,-1.83,0.0,0.0099999998,-2.71,-3.49,-2.8,-2.0699999,-1.54,0.25999999,-0.16,301.81,-1.88,91.540001,-2.8,50.0,685.54999,0.0,-2.3699999,91.540001,301.81,-5.762999890000001
462698,675.0,92.410004,2.5599999,4.1900001,0.0,-1.13,-2.1500001,-2.5,-1.77,-1.2,-1.0,1.24,301.81,2.8599999,72.07,-3.45,50.0,688.71002,0.0,-2.0999999,72.07,301.81,-3.618000110000001
462704,681.0,92.410004,4.0,4.3600001,0.23999999,0.17,-1.0,-2.3099999,-1.7,-1.1799999,-1.02,0.38,75.660004,2.03,59.59,-3.96,49.990002,685.71002,0.0,-2.03,59.59,75.660004,-3.6620001100000006
462710,687.0,92.410004,4.0,4.1300001,0.38,1.02,-0.30000001,-2.2,-1.5,-1.0,-1.2,-0.0099999998,69.120003,1.41,66.410004,-4.0,49.990002,685.47998,0.0,-2.0,66.410004,69.120003,-3.29899989
462716,693.0,92.410004,4.9400001,4.4499998,0.85000002,1.4400001,0.2,-2.02,-1.49,-1.0,-1.3,-0.30000001,59.25,1.8200001,62.07,-4.0999999,49.990002,687.35999,0.0099999998,-2.0,62.07,59.25,-4.267000000000001
462722,699.0,92.410004,3.98,3.8900001,0.050000001,1.86,0.51999998,-1.9,-1.4,-0.93000001,-1.49,-0.56,76.809998,1.84,59.57,-4.3000002,0.0,0.0,0.0,-2.0,59.57,76.809998,0.1
462728,791.0,92.410004,0.58999997,5.71,4.6799998,-2.96,-3.8699999,-2.71,-2.5,-2.0999999,-4.1500001,-1.5,58.150002,-2.1199999,58.52,-5.3899999,50.0,683.89001,0.0,-3.21,58.52,58.150002,-5.730000220000001
462734,797.0,92.410004,3.23,4.3099999,2.55,-1.49,-2.6600001,-2.5999999,-2.29,-2.0,-3.5,-1.4,48.790001,0.76999998,49.580002,-4.6700001,50.0,685.67999,0.0,-3.02,49.580002,48.790001,-4.212000110000001
462740,803.0,92.410004,4.0,5.4899998,3.8199999,-0.44999999,-1.78,-2.5999999,-2.2,-1.8,-3.2,-1.42,57.049999,0.02,57.5,-4.8200002,49.990002,680.69,0.0,-3.0,57.5,57.049999,-4.256
462746,809.0,92.410004,4.0,4.8800001,1.78,0.12,-1.2,-2.5999999,-2.2,-1.8,-3.0,-1.5,57.049999,0.57999998,53.400002,-5.4000001,49.98,683.5,0.0,-3.0,53.400002,57.049999,-4.014000000000001
462752,815.0,92.410004,4.0,4.1999998,5.25,0.56,-0.72000003,-2.51,-2.0,-1.66,-3.02,-1.4,50.470001,0.58999997,56.099998,-5.4000001,50.009998,689.78003,0.0,-3.0,56.099998,50.470001,-3.33199989
462758,821.0,92.410004,4.1399999,3.9100001,5.1199999,0.92000002,-0.41,-2.5,-1.9400001,-1.71,-3.0,-1.4,50.470001,-0.02,54.5,-5.6999998,49.98,688.51001,0.0,-3.0,54.5,50.470001,-3.992
462764,827.0,92.410004,4.0,4.5999999,2.95,1.0,-0.30000001,-2.4400001,-2.0699999,-1.8,-3.1199999,-1.5,50.470001,0.5,51.009998,-5.8000002,49.98,680.87,0.0,-3.1900001,51.009998,50.470001,-4.267000000000001
462770,833.0,92.410004,4.0,5.52,2.8900001,1.1,-0.14,-2.3,-2.0,-1.8,-3.3,-1.5,50.470001,0.12,48.919998,-5.9899998,49.990002,690.32001,0.0,-3.2,48.919998,50.470001,-3.3980001100000004
462776,839.0,92.410004,4.0,5.1500001,4.21,1.16,-0.1,-2.3,-2.1199999,-1.8099999,-3.24,-1.5,50.470001,-0.38999999,47.310001,-5.9899998,50.040001,693.81,0.0,-3.2,47.310001,50.470001,-3.67300011
462782,845.0,92.410004,4.0,5.23,2.79,1.13,-0.029999999,-2.27,-2.2,-2.0,-3.3,-1.6900001,50.470001,0.38,43.639999,-6.0999999,50.0,677.95001,0.0,-3.3,43.639999,50.470001,-4.409999890000001
462788,851.0,92.410004,4.0,4.8699999,1.87,1.1799999,0.0,-2.2,-2.2,-2.0,-3.3299999,-1.7,53.759998,0.029999999,47.07,-6.4000001,50.0,687.62,0.0,-3.3,47.07,53.759998,-3.486
462794,857.0,92.410004,4.0,5.8400002,3.3800001,1.1,0.0,-2.2,-2.29,-2.01,-3.55,-1.72,53.759998,-0.66000003,49.060001,-6.9099998,50.0,686.46997,0.0,-3.46,49.060001,53.759998,-4.2780000000000005
462800,863.0,92.410004,4.0,3.9400001,0.11,1.1,0.0,-2.2,-2.4400001,-2.0999999,-3.8,-1.8200001,69.120003,0.050000001,52.110001,-7.6399999,50.009998,684.62,0.0,-3.5,52.110001,69.120003,-3.992
462806,869.0,92.410004,3.6400001,4.0599999,0.18000001,1.0,-0.1,-2.2,-2.5999999,-2.3,-4.0900002,-1.9,40.59,-1.0,45.619999,-8.29,50.029999,690.77002,0.0,-3.5999999,45.619999,40.59,-3.486
